college,Private,Apps,accept,enroll,Tuition,Grad.Rate,expenditure,Perc.AlumniDonation
Christopher Newport University,No,883,766,428,7860,48,4639,16
Claflin College,Yes,1196,697,499,4412,21,7083,31
Claremont McKenna College,Yes,1860,767,227,17000,87,18443,52
Clark University,Yes,2887,2059,457,17500,79,11951,35
Clarke College,Yes,460,340,167,10740,74,7963,27
Clarkson University,Yes,2174,1953,557,15960,77,11659,32
Clemson University,No,8065,5257,2301,8116,73,7597,17
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,7168,46,4417,9
Coe College,Yes,1006,742,275,13925,67,10141,32
Coker College,Yes,604,452,295,9888,75,8741,39
Colby College,Yes,2848,1319,456,18930,91,15954,41
Colgate University,Yes,4856,2492,727,19510,93,15494,45
College Misericordia,Yes,1432,888,317,10860,96,8604,23
College of Charleston,No,4772,3140,1265,6120,51,4776,18
College of Mount St. Joseph,Yes,798,620,238,9800,100,6889,35
College of Mount St. Vincent,Yes,946,648,177,11790,83,10015,35
College of Notre Dame,Yes,344,264,97,12600,43,9773,7
College of Notre Dame of Maryland,Yes,457,356,177,11180,75,7477,32
College of Saint Benedict,Yes,938,864,511,12247,72,8847,26
College of Saint Catherine,Yes,511,411,186,12224,77,7315,32
College of Saint Elizabeth,Yes,444,359,122,10900,78,9447,23
College of Saint Rose,Yes,983,664,249,9990,64,6084,28
College of Santa Fe,Yes,546,447,189,11138,80,8820,7
College of St. Joseph,Yes,141,118,55,8300,76,6936,19
College of St. Scholastica,Yes,672,596,278,11844,72,8996,33
College of the Holy Cross,Yes,2994,1691,659,18000,95,12138,55
College of William and Mary,No,7117,3106,1217,11720,93,9534,31
College of Wooster,Yes,2100,1883,553,16240,69,14140,43
Colorado College,Yes,3207,1577,490,17142,84,14664,51
Colorado State University,No,9478,6312,2194,8412,59,7850,10
Columbia College MO,Yes,314,158,132,8294,37,5015,2
Columbia College,Yes,737,614,242,10425,76,8693,34
Columbia University,Yes,6756,1930,871,18624,99,30639,21
Concordia College at St. Paul,Yes,281,266,139,10500,45,6955,18
Concordia Lutheran College,Yes,232,216,106,6900,42,6875,9
Concordia University CA,Yes,688,497,144,10800,55,8415,13
Concordia University,Yes,528,403,186,9216,75,7309,13
Connecticut College,Yes,3035,1546,438,18740,91,14773,40
Converse College,Yes,440,407,149,12050,75,10965,31
Cornell College,Yes,1538,1329,383,15248,64,10340,31
Creighton University,Yes,2967,2836,876,10628,85,22906,32
Culver-Stockton College,Yes,1576,1110,274,8000,51,5807,28
Cumberland College,Yes,995,789,398,6230,63,8189,4
D'Youville College,Yes,866,619,157,8920,46,6898,42
Dana College,Yes,504,482,185,9130,54,8686,25
Daniel Webster College,Yes,585,508,153,12292,72,8643,10
Dartmouth College,Yes,8587,2273,1087,19545,98,29619,49
Davidson College,Yes,2373,956,452,17295,94,17581,46
Defiance College,Yes,571,461,174,10850,56,7505,19
Delta State University,No,967,945,459,4528,58,5113,16
Denison University,Yes,2762,2279,533,16900,81,12423,45
DePauw University,Yes,1994,1656,495,14300,82,11525,31
Dickinson College,Yes,3014,2539,487,18700,87,13861,39
Dickinson State University,No,434,412,319,4486,46,4525,28
Dillard University,Yes,1998,1376,651,6700,61,7566,12
Doane College,Yes,793,709,244,9570,60,6852,42
Dominican College of Blauvelt,Yes,360,329,108,8310,54,5480,5
Dordt College,Yes,604,562,328,9800,87,7325,17
Dowling College,Yes,1011,829,410,9000,42,11178,7
Drake University,Yes,2799,2573,839,13420,77,9473,24
Drew University,Yes,2153,1580,321,18432,83,14907,28
Drury College,Yes,700,650,314,8730,67,9303,35
Duke University,Yes,13789,3893,1583,18590,97,27206,44
Earlham College,Yes,1358,1006,274,15036,78,14634,46
East Carolina University,No,9274,6362,2435,7248,58,9002,18
East Tennessee State University,No,3330,2730,1303,5800,42,9825,9
East Texas Baptist University,Yes,379,341,265,4950,38,5619,7
Eastern College,Yes,458,369,165,11190,54,8135,22
Eastern Connecticut State University,No,2172,1493,564,5962,50,5719,14
Eastern Illinois University,No,5597,4253,1565,5710,76,5682,5
Eastern Mennonite College,Yes,486,440,227,9650,82,10188,29
Eastern Nazarene College,Yes,516,409,200,8770,70,6430,17
Eckerd College,Yes,1422,1109,366,15360,59,15003,26
Elizabethtown College,Yes,2417,1843,426,14190,81,9815,25
Elmira College,Yes,1457,1045,345,14990,64,7502,21
Elms College,Yes,245,208,125,11800,86,8952,21
Elon College,Yes,3624,2786,858,9100,63,6329,34
Embry Riddle Aeronautical University,Yes,3151,2584,958,7800,44,12878,4
Emory & Henry College,Yes,765,646,226,8578,82,8061,51
Emory University,Yes,8506,4168,1236,17600,96,28457,28
Emporia State University,No,1256,1256,853,5401,50,5527,4
Erskine College,Yes,659,557,167,10485,67,7527,47
Eureka College,Yes,560,454,113,10955,53,9552,31
Evergreen State College,No,1801,1101,438,6297,68,8355,14
Fairfield University,Yes,4784,3346,781,15000,94,11220,30
Fayetteville State University,No,1455,1064,452,6806,24,6972,10
Ferrum College,Yes,1339,1107,336,9400,22,7967,9
Flagler College,Yes,1415,714,338,5120,69,3930,9
Florida Institute of Technology,Yes,1947,1580,523,13900,57,8923,7
Florida International University,No,3306,2079,1071,6597,66,6722,20
Florida Southern College,Yes,1381,1040,374,8025,68,6339,10
Florida State University,No,11651,8683,3023,6680,58,7250,15
Fontbonne College,Yes,291,245,126,8390,62,4607,24
Fordham University,Yes,4200,2874,942,14235,80,10864,14
Fort Lewis College,No,3440,2823,1123,6198,46,4362,6
Francis Marion University,No,1801,1655,819,5840,43,5039,8
Franciscan University of Steubenville,Yes,553,452,228,9650,83,6336,8
Franklin College,Yes,804,632,281,10390,60,11751,37
Franklin Pierce College,Yes,5187,4471,446,13320,51,6418,16
Freed-Hardeman University,Yes,895,548,314,5500,62,6078,13
Fresno Pacific College,Yes,346,274,146,9900,54,8095,14
Furman University,Yes,2161,1951,685,13440,82,12940,28
Gannon University,Yes,2464,1908,678,10970,65,7711,18
Gardner Webb University,Yes,1110,930,332,8180,29,5664,12
Geneva College,Yes,668,534,237,9476,74,6786,26
George Fox College,Yes,809,726,294,12500,52,7136,22
George Mason University,No,5653,4326,1727,10800,46,6751,7
George Washington University,Yes,7875,5062,1492,17450,72,14745,15
Georgetown College,Yes,727,693,286,8100,55,7508,28
Georgetown University,Yes,11115,2881,1390,18300,95,19635,27
Georgia Institute of Technology,No,7837,4527,2276,6489,70,11271,33
Georgia State University,No,3793,2341,1238,6744,34,7762,10
Georgian Court College,Yes,348,281,127,9150,76,7348,27
Gettysburg College,Yes,3596,2466,575,19964,83,14720,32
Goldey Beacom College,Yes,633,468,284,6120,36,6081,4
Gonzaga University,Yes,1886,1524,526,13000,69,9553,32
Gordon College,Yes,674,565,282,12200,66,9226,32
Goshen College,Yes,440,396,221,9420,72,10270,46
Goucher College,Yes,1151,813,248,15588,77,16623,34
Grace College and Seminary,Yes,548,428,167,8958,64,9798,26
Graceland College,Yes,555,414,242,9100,47,5609,24
Grand Valley State University,No,5165,3887,1561,6108,57,5063,9
Green Mountain College,Yes,780,628,198,11750,76,6475,24
Greensboro College,Yes,608,494,176,8330,39,7949,31
Greenville College,Yes,510,387,194,10310,60,8222,16
Grinnell College,Yes,2039,1389,432,15688,83,18979,54
Grove City College,Yes,2491,1110,573,5224,100,4957,18
Guilford College,Yes,1202,1054,326,13404,65,9114,30
Gustavus Adolphus College,Yes,1709,1385,634,14125,80,9907,58
Gwynedd Mercy College,Yes,380,237,104,11000,96,7483,22
Hamilton College,Yes,3140,1783,454,19700,91,17761,60
Hamline University,Yes,1006,825,328,13252,65,10296,33
Hampden - Sydney College,Yes,817,644,307,13218,69,12263,53
Hampton University,Yes,7178,3755,1433,7161,70,6791,9
Hanover College,Yes,1006,837,317,8200,64,9248,26
Hardin-Simmons University,Yes,467,424,350,6300,38,7054,10
Harding University,Yes,1721,1068,806,5504,73,6466,37
Hartwick College,Yes,2083,1725,430,17480,73,11625,32
Harvard University,Yes,13865,2165,1606,18485,100,37219,52
Harvey Mudd College,Yes,1377,572,178,17230,100,21569,46
Hastings College,Yes,817,708,262,9376,52,7335,17
Hendrix College,Yes,823,721,274,8800,63,8588,26
Hillsdale College,Yes,920,745,347,11090,79,12639,31
Hiram College,Yes,922,729,244,14067,79,12165,34
Hobart and William Smith Colleges,Yes,2688,2081,500,19029,79,13040,37
Hofstra University,Yes,7428,5860,1349,11600,60,10093,10
Hollins College,Yes,602,498,215,13470,72,13957,48
Hood College,Yes,699,565,176,13960,72,12434,34
Hope College,Yes,1712,1483,624,12275,72,9284,40
Houghton College,Yes,949,786,302,9990,67,8187,24
Huntingdon College,Yes,608,520,127,8080,44,7703,9
Huntington College,Yes,450,430,125,9950,47,9466,25
Huron University,Yes,600,197,124,7260,21,9249,4
Husson College,Yes,723,652,361,7800,84,4923,4
Illinois Benedictine College,Yes,607,558,269,10500,75,8324,29
Illinois College,Yes,894,787,262,8050,52,7348,30
Illinois Institute of Technology,Yes,1756,1360,478,14550,56,12851,26
Illinois State University,No,8681,6695,2408,7799,54,5569,16
Illinois Wesleyan University,Yes,3050,1342,471,14360,83,9605,34
Immaculata College,Yes,268,253,103,10000,69,7305,33
Incarnate Word College,Yes,1163,927,386,8840,95,6095,21
Indiana State University,No,5659,4761,3147,6892,40,6996,8
Indiana University at Bloomington,No,16587,13243,5873,9766,68,8686,24
Indiana Wesleyan University,Yes,735,423,366,9210,34,6562,15
Iona College,Yes,4892,3530,913,10690,66,8107,14
Iowa State University,No,8427,7424,3441,7550,65,8420,22
Ithaca College,Yes,7259,5526,1368,14424,75,9812,25
James Madison University,No,11223,5285,2082,7994,98,5212,29
Jamestown College,Yes,472,410,262,7620,54,3186,21
Jersey City State College,No,2957,1423,691,3946,26,8367,10
John Brown University,Yes,605,405,284,6398,75,8118,19
John Carroll University,Yes,2421,2109,820,11700,89,7738,28
Johns Hopkins University,Yes,8474,3446,911,18800,90,56233,38
Johnson State College,No,833,669,279,7656,36,6564,15
Judson College,Yes,313,228,137,9414,56,7840,30
Juniata College,Yes,1005,859,298,14850,80,12067,37
Kansas State University,No,5880,4075,2833,6995,54,6122,22
Kansas Wesleyan University,Yes,589,575,148,8400,68,6535,14
Keene State College,No,3121,2446,822,7870,61,6195,13
Kentucky Wesleyan College,Yes,584,497,175,8000,62,7058,32
Kenyon College,Yes,2212,1538,408,19240,88,14067,46
Keuka College,Yes,461,381,174,9600,51,7863,43
King's College,Yes,1456,1053,381,10910,87,7649,37
King College,Yes,355,300,142,8664,65,8954,25
Knox College,Yes,1040,845,286,15747,79,13224,33
La Roche College,Yes,361,321,185,8842,52,7022,14
La Salle University,Yes,2929,1834,622,12600,84,9084,9
Lafayette College,Yes,4010,2402,572,18730,92,15365,38
LaGrange College,Yes,544,399,177,6987,75,9067,12
Lake Forest College,Yes,979,638,271,16880,77,15687,19
Lakeland College,Yes,497,452,231,9400,57,4054,25
Lamar University,No,2336,1725,1043,4752,26,5879,12
Lambuth University,Yes,831,538,224,5170,60,5531,10
Lander University,No,1166,1009,510,4938,51,6119,11
Lawrence University,Yes,1243,947,324,17163,77,13965,57
Le Moyne College,Yes,1470,1199,425,11040,94,8118,28
Lebanon Valley College,Yes,1386,1060,320,13850,85,8196,30
Lehigh University,Yes,6397,4304,1092,18700,91,14665,43
Lenoir-Rhyne College,Yes,979,743,259,10100,66,8539,20
Lesley College,Yes,244,198,82,11700,58,8694,18
LeTourneau University,Yes,477,417,204,8840,56,6863,23
Lewis and Clark College,Yes,2774,2092,482,15800,69,12999,21
Lewis University,Yes,1154,1050,395,10560,61,7701,10
Lincoln Memorial University,Yes,787,562,363,5950,53,5177,35
Lincoln University,No,1660,1091,326,4818,45,10912,8
Lindenwood College,Yes,810,484,356,9200,100,3480,9
Linfield College,Yes,1561,1188,458,13380,81,8747,34
Livingstone College,Yes,900,473,217,4400,92,9268,16
Lock Haven University of Pennsylvania,No,3570,2215,651,7352,63,6374,14
Longwood College,No,2747,1870,724,7920,62,5553,23
Loras College,Yes,1641,1283,527,11200,70,7578,24
Louisiana College,Yes,2013,1053,212,5150,59,7547,11
Louisiana State University at Baton Rouge,No,5996,4993,3079,5925,37,6741,11
Louisiana Tech University,No,2397,2144,1525,3957,45,4546,13
Loyola College,Yes,4076,3137,738,12990,80,9448,27
Loyola Marymount University,Yes,3768,2662,753,13592,84,11677,10
Loyola University,Yes,1891,1698,719,11100,53,9456,14
Loyola University Chicago,Yes,3579,2959,868,11500,65,13009,15
Luther College,Yes,1549,1392,587,13240,77,8949,38
Lycoming College,Yes,1286,1005,363,13900,72,8024,32
Lynchburg College,Yes,1756,1500,366,12450,70,8832,24
Lyndon State College,No,535,502,223,7320,51,7114,15
Macalester College,Yes,2939,1496,452,15909,77,14213,37
MacMurray College,Yes,740,558,177,9620,59,10642,33
Malone College,Yes,874,758,428,9858,55,4796,16
Manchester College,Yes,1004,802,239,10440,64,7940,20
Manhattan College,Yes,2432,1730,563,12370,79,10062,25
Manhattanville College,Yes,962,750,212,14700,70,11291,24
Mankato State University,No,3073,2672,1547,4300,68,5801,11
Marian College of Fond du Lac,Yes,824,670,337,9400,59,5352,21
Marietta College,Yes,1611,960,342,13850,96,10223,30
Marist College,Yes,4731,3171,830,10700,69,8408,34
Marquette University,Yes,5152,4600,1685,11610,77,9982,25
Marshall University,Yes,4226,3666,2007,5094,50,6203,10
Mary Baldwin College,Yes,499,441,199,11200,90,10819,50
Mary Washington College,No,4350,2178,756,6490,84,5358,30
Marymount College Tarrytown,Yes,478,327,117,11510,77,10502,30
Marymount Manhattan College,Yes,695,535,239,10200,68,10622,20
Marymount University,Yes,941,772,214,11390,55,8575,17
Maryville College,Yes,1464,888,176,11200,51,8317,43
Maryville University,Yes,549,397,169,9250,61,5925,13
Marywood College,Yes,1107,859,323,11040,66,9034,30
Massachusetts Institute of Technology,Yes,6411,2140,1078,20100,94,33541,35
Mayville State University,No,233,233,153,4486,51,6971,11
McKendree College,Yes,1002,555,119,7680,52,6652,21
McMurry University,Yes,578,411,187,6930,32,6383,11
McPherson College,Yes,420,293,93,7950,48,9754,45
Mercer University,Yes,2286,1668,564,11985,91,8995,15
Mercyhurst College,Yes,1557,1074,397,9813,78,7307,29
Meredith College,Yes,857,772,376,6720,82,6881,33
Merrimack College,Yes,1981,1541,514,12500,80,8707,22
Mesa State College,No,1584,1456,891,5016,59,3871,12
Messiah College,Yes,1742,1382,607,10300,89,7762,30
Miami University at Oxford,No,9239,7788,3290,8856,85,7846,20
Michigan State University,No,18114,15096,6180,10658,71,10520,9
Michigan Technological University,No,2618,2288,1032,8127,65,7473,25
MidAmerica Nazarene College,Yes,331,331,225,6840,49,5524,20
Millersville University of Penn.,No,6011,3075,960,7844,71,7832,20
Milligan College,Yes,610,461,189,8200,64,8128,16
Millikin University,Yes,1444,1261,456,11910,75,8149,25
Millsaps College,Yes,905,834,319,11320,58,11218,38
Milwaukee School of Engineering,Yes,1217,1088,496,11505,67,7140,23
Mississippi College,Yes,594,385,307,5580,61,6170,18
Mississippi State University,No,4255,3277,1609,9866,53,6223,20
Mississippi University for Women,No,480,405,380,4386,63,5704,8
Missouri Southern State College,No,1576,1326,913,3840,100,4172,9
Missouri Valley College,Yes,1310,983,316,8550,27,4333,16
Monmouth College IL,Yes,601,503,204,13000,56,11087,43
Monmouth College,Yes,2707,1881,478,12480,54,9492,15
Montana College of Mineral Sci. & Tech.,No,572,544,320,6073,74,6112,31
Montana State University,No,3500,2836,1779,5552,37,6324,8
Montclair State University,No,5220,2128,865,3648,58,6717,9
Montreat-Anderson College,Yes,263,223,103,8438,15,11989,4
Moorhead State University,No,2442,2164,1189,4426,60,4795,19
Moravian College,Yes,1232,955,303,14990,74,9566,28
Morehouse College,Yes,3708,1678,722,7050,83,8122,10
Morningside College,Yes,586,533,239,10520,56,8111,32
Morris College,Yes,882,730,330,4515,60,6990,34
Mount Holyoke College,Yes,1800,1314,526,19300,84,18359,51
Mount Marty College,Yes,279,276,126,6844,44,5073,38
Mount Mary College,Yes,235,217,121,8950,78,7016,26
Mount Mercy College,Yes,368,317,159,10500,64,6695,30
Mount Saint Clare College,Yes,325,284,95,9900,21,6525,43
Mount Saint Mary's College,Yes,1321,1159,328,12850,80,8536,36
Mount Saint Mary College,Yes,1170,695,238,7470,88,6898,23
Mount St. Mary's College,Yes,657,537,113,12474,72,10613,19
Mount Union College,Yes,1310,1086,458,12250,81,7215,35
Mount Vernon Nazarene College,Yes,510,485,334,7400,58,6869,7
Muhlenberg College,Yes,2519,1836,462,16975,83,10888,39
Murray State University,No,2225,1910,1190,4738,52,5972,27
Muskingum College,Yes,1109,922,375,13240,73,9333,27
National-Louis University,Yes,513,347,279,9090,71,7905,2
Nazareth College of Rochester,Yes,947,798,266,10850,61,8797,24
New Jersey Institute of Technology,No,1879,1216,483,8832,72,12529,19
New Mexico Institute of Mining and Tech.,No,787,601,233,5376,34,9241,11
New York University,Yes,13594,7244,2505,17748,71,21227,16
Newberry College,Yes,872,722,154,10194,83,5788,32
Niagara University,Yes,2220,1796,467,10320,65,7788,20
North Adams State College,No,1563,1005,240,5542,57,6562,17
North Carolina A. & T. State University,No,4809,3089,1429,6806,44,7090,9
North Carolina State University at Raleigh,No,10634,7064,3176,8400,62,9670,21
North Carolina Wesleyan College,Yes,812,689,195,8242,52,10090,11
North Central College,Yes,1127,884,308,11718,76,8871,33
North Dakota State University,No,2968,2297,1610,5834,42,6310,24
North Park College,Yes,465,361,176,12580,74,10889,24
Northeast Missouri State University,No,6040,4577,1620,4856,76,6601,13
Northeastern University,Yes,11901,8492,2517,13380,46,9563,17
Northern Arizona University,No,5891,4931,1973,6746,41,6157,7
Northern Illinois University,No,10706,7219,2397,7799,56,6086,11
Northwest Missouri State University,No,2729,2535,1257,3735,54,5284,23
Northwest Nazarene College,Yes,616,514,385,9840,58,6261,20
Northwestern College,Yes,860,811,366,9900,68,6357,34
Northwestern University,Yes,12289,5200,1902,16404,92,26385,25
Norwich University,Yes,1743,1625,626,14134,63,9209,22
Notre Dame College,Yes,379,324,107,9990,33,4948,26
Oakland University,No,3041,2581,1173,9114,53,6637,13
Oberlin College,Yes,4778,2767,678,19670,83,16593,47
Occidental College,Yes,2324,1319,370,16560,79,16196,30
Oglethorpe University,Yes,792,649,186,12900,67,8568,27
Ohio Northern University,Yes,2936,2342,669,15990,83,9979,31
Ohio University,No,11023,8298,3183,7629,64,8811,13
Ohio Wesleyan University,Yes,2190,1700,458,16732,75,12011,32
Oklahoma Baptist University,Yes,758,681,484,5390,50,5511,18
Oklahoma Christian University,Yes,776,765,351,6400,45,6578,8
Oklahoma State University,No,4522,3913,2181,5336,48,6433,14
Otterbein College,Yes,1496,1205,428,12888,87,8802,30
Ouachita Baptist University,Yes,910,773,450,6530,65,6413,10
Our Lady of the Lake University,Yes,2308,1336,295,8530,37,7114,25
Pace University,Yes,8256,3750,1522,11000,62,10059,10
Pacific Lutheran University,Yes,1603,1392,504,13312,83,9431,23
Pacific Union College,Yes,940,668,385,11925,69,9157,12
Pacific University,Yes,943,849,288,14210,42,11216,22
Pembroke State University,No,944,774,440,6360,48,6443,5
Pennsylvania State Univ. Main Campus,No,19315,10344,3450,10645,63,8992,19
Pepperdine University,Yes,3821,2037,680,18200,66,16185,13
Peru State College,No,701,501,458,2580,44,4870,24
Pfeiffer College,Yes,838,651,159,8640,48,7634,13
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,11690,68,8028,15
Phillips University,Yes,692,576,174,10500,39,8990,19
Piedmont College,Yes,663,562,127,5640,31,7309,17
Pikeville College,Yes,404,400,169,6000,61,5557,14
Pitzer College,Yes,1133,630,220,17688,73,14820,11
Point Loma Nazarene College,Yes,809,687,428,10178,54,7895,19
Point Park College,Yes,875,744,207,9700,66,7652,10
Polytechnic University,Yes,1132,847,302,16200,62,14329,14
Prairie View A. and M. University,No,2405,2234,1061,4290,35,5967,1
Presbyterian College,Yes,1082,832,302,11859,85,8354,42
Princeton University,Yes,13218,2042,1153,19900,99,28320,54
Providence College,Yes,5139,3346,973,14400,96,8135,35
Purdue University at West Lafayette,No,21804,18744,5874,9556,67,8604,15
Queens College,Yes,516,392,154,11020,58,9315,36
Quincy University,Yes,1025,707,297,10100,80,6880,32
Quinnipiac College,Yes,3712,2153,806,12030,86,8847,33
Radford University,No,5702,4894,1742,6684,62,4519,9
Ramapo College of New Jersey,No,2088,957,362,4449,47,7333,8
Randolph-Macon College,Yes,1771,1325,306,13840,74,11080,38
Randolph-Macon Woman's College,Yes,696,616,169,13970,68,16358,24
Reed College,Yes,1966,1436,327,19960,68,15886,37
Regis College,Yes,427,385,143,12700,84,11758,37
Rensselaer Polytechnic Institute,Yes,4996,4165,936,17475,70,15605,21
Rhodes College,Yes,2302,1831,391,15200,77,13388,47
Rider University,Yes,3586,2424,730,13250,70,11299,23
Ripon College,Yes,587,501,211,15200,64,12472,49
Rivier College,Yes,484,386,141,9870,81,6744,19
Roanoke College,Yes,2227,1790,437,13425,72,9405,26
Rockhurst College,Yes,935,858,345,9490,79,7519,21
Rocky Mountain College,Yes,560,392,270,8734,68,6422,27
Roger Williams University,Yes,3304,2804,679,12520,61,7957,8
Rollins College,Yes,1777,1151,382,16425,90,11561,23
Rosary College,Yes,434,321,141,10950,81,9264,30
